Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
9:15:00 AM,10-10-2023,Tuesday,33,12,9,6,60,low
9:30:00 AM,10-10-2023,Tuesday,69,9,26,9,113,high
9:45:00 AM,10-10-2023,Tuesday,69,12,10,5,96,low
10:00:00 AM,10-10-2023,Tuesday,55,11,9,17,92,low
10:15:00 AM,10-10-2023,Tuesday,32,7,27,12,78,normal
10:30:00 AM,10-10-2023,Tuesday,53,13,7,5,78,low
10:45:00 AM,10-10-2023,Tuesday,34,10,9,35,88,normal
11:00:00 AM,10-10-2023,Tuesday,32,10,10,26,78,normal
11:15:00 AM,10-10-2023,Tuesday,47,10,5,25,87,normal
11:30:00 AM,10-10-2023,Tuesday,28,0,5,29,62,normal
11:45:00 AM,10-10-2023,Tuesday,35,7,13,34,89,normal
12:00:00 PM,10-10-2023,Tuesday,38,10,8,31,87,normal
12:15:00 PM,10-10-2023,Tuesday,32,3,12,35,82,normal
12:30:00 PM,10-10-2023,Tuesday,54,5,12,29,100,normal
12:45:00 PM,10-10-2023,Tuesday,52,2,12,29,95,normal
1:00:00 PM,10-10-2023,Tuesday,68,19,18,30,135,normal
1:15:00 PM,10-10-2023,Tuesday,73,15,3,17,108,low
1:30:00 PM,10-10-2023,Tuesday,21,18,18,23,80,normal
1:45:00 PM,10-10-2023,Tuesday,63,11,16,11,101,normal
2:00:00 PM,10-10-2023,Tuesday,7,17,20,18,62,normal
2:15:00 PM,10-10-2023,Tuesday,76,15,32,17,140,high
2:30:00 PM,10-10-2023,Tuesday,59,14,18,28,119,normal
2:45:00 PM,10-10-2023,Tuesday,90,9,3,14,116,normal
3:00:00 PM,10-10-2023,Tuesday,5,13,4,20,42,normal
3:15:00 PM,10-10-2023,Tuesday,33,18,22,23,96,normal
3:30:00 PM,10-10-2023,Tuesday,39,19,13,23,94,normal
3:45:00 PM,10-10-2023,Tuesday,150,21,10,14,195,heavy
4:00:00 PM,10-10-2023,Tuesday,126,27,40,19,212,heavy
4:15:00 PM,10-10-2023,Tuesday,144,7,35,17,203,heavy
4:30:00 PM,10-10-2023,Tuesday,145,13,12,18,188,heavy
4:45:00 PM,10-10-2023,Tuesday,121,29,27,15,192,heavy
5:00:00 PM,10-10-2023,Tuesday,150,21,37,19,227,heavy
5:15:00 PM,10-10-2023,Tuesday,122,8,10,11,151,normal
5:30:00 PM,10-10-2023,Tuesday,129,20,35,18,202,heavy
5:45:00 PM,10-10-2023,Tuesday,114,7,39,19,179,heavy
6:00:00 PM,10-10-2023,Tuesday,109,10,26,17,162,high
6:15:00 PM,10-10-2023,Tuesday,101,22,24,18,165,normal
6:30:00 PM,10-10-2023,Tuesday,91,13,8,12,124,normal
6:45:00 PM,10-10-2023,Tuesday,90,17,10,11,128,normal
7:00:00 PM,10-10-2023,Tuesday,107,2,15,35,159,high
7:15:00 PM,10-10-2023,Tuesday,66,7,5,22,100,normal
7:30:00 PM,10-10-2023,Tuesday,98,5,7,30,140,normal
7:45:00 PM,10-10-2023,Tuesday,91,10,17,28,146,normal
8:00:00 PM,10-10-2023,Tuesday,82,4,9,20,115,normal
8:15:00 PM,10-10-2023,Tuesday,65,10,19,18,112,normal
8:30:00 PM,10-10-2023,Tuesday,54,3,20,15,92,normal
8:45:00 PM,10-10-2023,Tuesday,78,6,16,35,135,high
9:00:00 PM,10-10-2023,Tuesday,70,20,10,33,133,high
9:15:00 PM,10-10-2023,Tuesday,90,9,11,11,121,normal
9:30:00 PM,10-10-2023,Tuesday,96,0,19,23,138,normal
9:45:00 PM,10-10-2023,Tuesday,14,1,0,27,42,normal
10:00:00 PM,10-10-2023,Tuesday,7,1,0,36,44,normal
10:15:00 PM,10-10-2023,Tuesday,9,0,2,35,46,normal
10:30:00 PM,10-10-2023,Tuesday,7,0,0,34,41,normal
10:45:00 PM,10-10-2023,Tuesday,11,0,1,33,45,normal
11:00:00 PM,10-10-2023,Tuesday,11,2,2,40,55,normal
11:15:00 PM,10-10-2023,Tuesday,11,1,0,31,43,normal
11:30:00 PM,10-10-2023,Tuesday,9,2,1,20,32,normal
11:45:00 PM,10-10-2023,Tuesday,8,1,2,31,42,normal
12:00:00 AM,11-10-2023,Wednesday,9,1,2,29,41,normal
12:15:00 AM,11-10-2023,Wednesday,12,2,1,32,47,normal
12:30:00 AM,11-10-2023,Wednesday,11,2,1,33,47,normal
12:45:00 AM,11-10-2023,Wednesday,7,0,0,29,36,normal
1:00:00 AM,11-10-2023,Wednesday,5,1,2,21,29,normal
1:15:00 AM,11-10-2023,Wednesday,13,1,2,20,36,normal
1:30:00 AM,11-10-2023,Wednesday,7,1,0,40,48,normal
1:45:00 AM,11-10-2023,Wednesday,13,2,2,30,47,normal
2:00:00 AM,11-10-2023,Wednesday,10,0,2,35,47,normal
2:15:00 AM,11-10-2023,Wednesday,15,2,2,32,51,normal
2:30:00 AM,11-10-2023,Wednesday,8,2,2,26,38,normal
2:45:00 AM,11-10-2023,Wednesday,11,0,0,28,39,normal
3:00:00 AM,11-10-2023,Wednesday,7,0,1,36,44,normal
3:15:00 AM,11-10-2023,Wednesday,8,0,1,32,41,normal
3:30:00 AM,11-10-2023,Wednesday,15,1,0,35,51,normal
3:45:00 AM,11-10-2023,Wednesday,9,1,0,33,43,normal
4:00:00 AM,11-10-2023,Wednesday,72,7,2,14,95,low
4:15:00 AM,11-10-2023,Wednesday,64,7,7,20,98,normal
4:30:00 AM,11-10-2023,Wednesday,85,8,5,14,112,normal
4:45:00 AM,11-10-2023,Wednesday,73,6,6,15,100,low
5:00:00 AM,11-10-2023,Wednesday,57,0,0,15,72,low
5:15:00 AM,11-10-2023,Wednesday,81,4,4,24,113,normal
5:30:00 AM,11-10-2023,Wednesday,54,6,3,18,81,low
5:45:00 AM,11-10-2023,Wednesday,97,22,23,12,154,normal
6:00:00 AM,11-10-2023,Wednesday,109,10,14,13,146,normal
6:15:00 AM,11-10-2023,Wednesday,102,23,23,11,159,normal
6:30:00 AM,11-10-2023,Wednesday,135,13,18,6,172,heavy
6:45:00 AM,11-10-2023,Wednesday,105,12,13,9,139,normal
7:00:00 AM,11-10-2023,Wednesday,90,17,19,8,134,normal
7:15:00 AM,11-10-2023,Wednesday,104,14,19,7,144,normal
7:30:00 AM,11-10-2023,Wednesday,134,20,24,8,186,heavy
7:45:00 AM,11-10-2023,Wednesday,120,26,17,8,171,heavy
8:00:00 AM,11-10-2023,Wednesday,142,19,16,5,182,heavy
8:15:00 AM,11-10-2023,Wednesday,121,28,20,15,184,heavy
8:30:00 AM,11-10-2023,Wednesday,85,26,17,9,137,normal
8:45:00 AM,11-10-2023,Wednesday,140,15,14,12,181,heavy
9:00:00 AM,11-10-2023,Wednesday,68,12,29,12,121,high
9:15:00 AM,11-10-2023,Wednesday,56,7,14,15,92,low
9:30:00 AM,11-10-2023,Wednesday,33,14,12,19,78,normal
9:45:00 AM,11-10-2023,Wednesday,61,9,18,6,94,normal
10:00:00 AM,11-10-2023,Wednesday,36,10,24,14,84,normal
10:15:00 AM,11-10-2023,Wednesday,57,13,22,19,111,normal
10:30:00 AM,11-10-2023,Wednesday,64,9,20,19,112,normal
10:45:00 AM,11-10-2023,Wednesday,30,7,1,31,69,normal
11:00:00 AM,11-10-2023,Wednesday,54,10,10,28,102,normal
11:15:00 AM,11-10-2023,Wednesday,28,5,12,29,74,normal
11:30:00 AM,11-10-2023,Wednesday,50,2,4,30,86,normal
11:45:00 AM,11-10-2023,Wednesday,60,4,3,26,93,normal
12:00:00 PM,11-10-2023,Wednesday,39,4,4,30,77,normal
12:15:00 PM,11-10-2023,Wednesday,32,1,12,27,72,normal
12:30:00 PM,11-10-2023,Wednesday,59,3,12,28,102,normal
12:45:00 PM,11-10-2023,Wednesday,64,9,9,25,107,normal
1:00:00 PM,11-10-2023,Wednesday,52,17,17,21,107,normal
1:15:00 PM,11-10-2023,Wednesday,96,14,3,22,135,normal
1:30:00 PM,11-10-2023,Wednesday,61,8,21,24,114,normal
1:45:00 PM,11-10-2023,Wednesday,100,7,11,22,140,normal
2:00:00 PM,11-10-2023,Wednesday,6,8,32,24,70,normal
2:15:00 PM,11-10-2023,Wednesday,88,14,32,26,160,high
2:30:00 PM,11-10-2023,Wednesday,27,14,15,23,79,normal
2:45:00 PM,11-10-2023,Wednesday,22,15,21,10,68,normal
3:00:00 PM,11-10-2023,Wednesday,53,5,17,21,96,normal
3:15:00 PM,11-10-2023,Wednesday,61,11,27,22,121,high
3:30:00 PM,11-10-2023,Wednesday,74,13,5,26,118,normal
3:45:00 PM,11-10-2023,Wednesday,121,7,16,20,164,normal
4:00:00 PM,11-10-2023,Wednesday,110,9,37,13,169,heavy
4:15:00 PM,11-10-2023,Wednesday,116,12,39,12,179,heavy
4:30:00 PM,11-10-2023,Wednesday,100,27,39,13,179,heavy
4:45:00 PM,11-10-2023,Wednesday,118,11,28,11,168,heavy
5:00:00 PM,11-10-2023,Wednesday,137,14,13,13,177,heavy
5:15:00 PM,11-10-2023,Wednesday,130,23,14,18,185,heavy
5:30:00 PM,11-10-2023,Wednesday,146,13,10,18,187,heavy
5:45:00 PM,11-10-2023,Wednesday,114,23,19,11,167,normal
6:00:00 PM,11-10-2023,Wednesday,104,18,15,15,152,normal
6:15:00 PM,11-10-2023,Wednesday,114,24,31,10,179,heavy
6:30:00 PM,11-10-2023,Wednesday,90,0,18,11,119,normal
6:45:00 PM,11-10-2023,Wednesday,95,2,9,15,121,normal
7:00:00 PM,11-10-2023,Wednesday,60,4,7,28,99,normal
7:15:00 PM,11-10-2023,Wednesday,72,1,9,32,114,high
7:30:00 PM,11-10-2023,Wednesday,92,20,11,31,154,high
7:45:00 PM,11-10-2023,Wednesday,70,18,9,23,120,normal
8:00:00 PM,11-10-2023,Wednesday,97,8,17,10,132,normal
8:15:00 PM,11-10-2023,Wednesday,72,11,5,24,112,normal
8:30:00 PM,11-10-2023,Wednesday,60,12,20,28,120,normal
8:45:00 PM,11-10-2023,Wednesday,62,7,7,13,89,low
9:00:00 PM,11-10-2023,Wednesday,79,19,13,17,128,normal
9:15:00 PM,11-10-2023,Wednesday,92,9,15,19,135,normal
9:30:00 PM,11-10-2023,Wednesday,62,1,5,10,78,low
9:45:00 PM,11-10-2023,Wednesday,13,0,1,39,53,normal
10:00:00 PM,11-10-2023,Wednesday,15,2,1,24,42,normal
10:15:00 PM,11-10-2023,Wednesday,12,2,2,22,38,normal
10:30:00 PM,11-10-2023,Wednesday,5,0,0,36,41,normal
10:45:00 PM,11-10-2023,Wednesday,11,1,2,26,40,normal
11:00:00 PM,11-10-2023,Wednesday,6,1,2,28,37,normal
11:15:00 PM,11-10-2023,Wednesday,6,0,1,27,34,normal
11:30:00 PM,11-10-2023,Wednesday,10,0,2,33,45,normal
11:45:00 PM,11-10-2023,Wednesday,5,0,1,27,33,normal
12:00:00 AM,12-10-2023,Thursday,6,1,2,37,46,normal
12:15:00 AM,12-10-2023,Thursday,5,2,1,36,44,normal
12:30:00 AM,12-10-2023,Thursday,6,1,0,26,33,normal
12:45:00 AM,12-10-2023,Thursday,9,2,0,21,32,normal
1:00:00 AM,12-10-2023,Thursday,11,2,2,35,50,normal
1:15:00 AM,12-10-2023,Thursday,8,2,0,34,44,normal
1:30:00 AM,12-10-2023,Thursday,14,2,0,35,51,normal
1:45:00 AM,12-10-2023,Thursday,8,0,0,36,44,normal
2:00:00 AM,12-10-2023,Thursday,10,1,0,21,32,normal
2:15:00 AM,12-10-2023,Thursday,14,0,1,35,50,normal
2:30:00 AM,12-10-2023,Thursday,8,1,0,21,30,normal
2:45:00 AM,12-10-2023,Thursday,12,2,1,37,52,normal
3:00:00 AM,12-10-2023,Thursday,15,2,1,30,48,normal
3:15:00 AM,12-10-2023,Thursday,12,2,1,33,48,normal
3:30:00 AM,12-10-2023,Thursday,8,0,2,38,48,normal
3:45:00 AM,12-10-2023,Thursday,10,1,2,39,52,normal
4:00:00 AM,12-10-2023,Thursday,90,5,0,28,123,normal
4:15:00 AM,12-10-2023,Thursday,57,9,0,15,81,low
4:30:00 AM,12-10-2023,Thursday,61,5,0,11,77,low
4:45:00 AM,12-10-2023,Thursday,84,10,6,16,116,normal
5:00:00 AM,12-10-2023,Thursday,59,8,5,18,90,low
5:15:00 AM,12-10-2023,Thursday,64,5,3,27,99,normal
5:30:00 AM,12-10-2023,Thursday,72,3,5,10,90,low
5:45:00 AM,12-10-2023,Thursday,102,12,14,7,135,normal
6:00:00 AM,12-10-2023,Thursday,132,16,23,9,180,heavy
6:15:00 AM,12-10-2023,Thursday,114,11,25,7,157,normal
6:30:00 AM,12-10-2023,Thursday,117,18,22,12,169,heavy
6:45:00 AM,12-10-2023,Thursday,149,15,10,15,189,heavy
7:00:00 AM,12-10-2023,Thursday,103,29,12,6,150,normal
7:15:00 AM,12-10-2023,Thursday,81,30,16,5,132,normal
7:30:00 AM,12-10-2023,Thursday,140,14,12,12,178,heavy
7:45:00 AM,12-10-2023,Thursday,88,25,23,5,141,normal
8:00:00 AM,12-10-2023,Thursday,146,17,20,6,189,heavy
8:15:00 AM,12-10-2023,Thursday,148,16,25,6,195,heavy
8:30:00 AM,12-10-2023,Thursday,125,21,22,11,179,heavy
8:45:00 AM,12-10-2023,Thursday,88,30,23,5,146,normal
9:00:00 AM,12-10-2023,Thursday,67,14,24,19,124,normal
9:15:00 AM,12-10-2023,Thursday,56,12,30,16,114,high
9:30:00 AM,12-10-2023,Thursday,75,9,15,19,118,normal
9:45:00 AM,12-10-2023,Thursday,52,8,5,12,77,low
10:00:00 AM,12-10-2023,Thursday,40,9,25,12,86,normal
10:15:00 AM,12-10-2023,Thursday,46,7,30,13,96,normal
10:30:00 AM,12-10-2023,Thursday,76,6,8,14,104,low
10:45:00 AM,12-10-2023,Thursday,62,6,6,25,99,normal
11:00:00 AM,12-10-2023,Thursday,63,8,9,27,107,normal
11:15:00 AM,12-10-2023,Thursday,39,2,12,25,78,normal
11:30:00 AM,12-10-2023,Thursday,55,7,4,35,101,normal
11:45:00 AM,12-10-2023,Thursday,64,9,8,34,115,high
12:00:00 PM,12-10-2023,Thursday,56,1,5,27,89,normal
12:15:00 PM,12-10-2023,Thursday,43,3,4,35,85,normal
12:30:00 PM,12-10-2023,Thursday,52,0,3,30,85,normal
12:45:00 PM,12-10-2023,Thursday,25,7,4,33,69,normal
1:00:00 PM,12-10-2023,Thursday,47,13,0,18,78,low
1:15:00 PM,12-10-2023,Thursday,26,16,31,26,99,normal
1:30:00 PM,12-10-2023,Thursday,86,3,9,30,128,normal
1:45:00 PM,12-10-2023,Thursday,46,6,21,11,84,normal
2:00:00 PM,12-10-2023,Thursday,66,13,3,26,108,normal
2:15:00 PM,12-10-2023,Thursday,89,19,21,18,147,normal
2:30:00 PM,12-10-2023,Thursday,88,1,10,21,120,normal
2:45:00 PM,12-10-2023,Thursday,88,8,8,24,128,normal
3:00:00 PM,12-10-2023,Thursday,96,20,28,14,158,high
3:15:00 PM,12-10-2023,Thursday,70,1,20,16,107,normal
3:30:00 PM,12-10-2023,Thursday,79,3,14,22,118,normal
3:45:00 PM,12-10-2023,Thursday,133,6,21,15,175,heavy
4:00:00 PM,12-10-2023,Thursday,128,11,38,14,191,heavy
4:15:00 PM,12-10-2023,Thursday,123,27,34,13,197,heavy
4:30:00 PM,12-10-2023,Thursday,129,23,17,16,185,heavy
4:45:00 PM,12-10-2023,Thursday,104,22,40,11,177,heavy
5:00:00 PM,12-10-2023,Thursday,128,9,19,14,170,heavy
5:15:00 PM,12-10-2023,Thursday,130,10,38,11,189,heavy
5:30:00 PM,12-10-2023,Thursday,146,14,35,15,210,heavy
5:45:00 PM,12-10-2023,Thursday,120,22,32,17,191,heavy
6:00:00 PM,12-10-2023,Thursday,102,25,31,14,172,heavy
6:15:00 PM,12-10-2023,Thursday,116,11,18,18,163,normal
6:30:00 PM,12-10-2023,Thursday,83,19,15,22,139,normal
6:45:00 PM,12-10-2023,Thursday,67,10,11,24,112,normal
7:00:00 PM,12-10-2023,Thursday,98,5,9,25,137,normal
7:15:00 PM,12-10-2023,Thursday,61,2,11,31,105,normal
7:30:00 PM,12-10-2023,Thursday,80,14,5,15,114,normal
7:45:00 PM,12-10-2023,Thursday,59,5,6,11,81,low
8:00:00 PM,12-10-2023,Thursday,68,14,20,10,112,normal
8:15:00 PM,12-10-2023,Thursday,84,15,12,16,127,normal
8:30:00 PM,12-10-2023,Thursday,67,19,16,17,119,normal
8:45:00 PM,12-10-2023,Thursday,53,14,19,33,119,high
9:00:00 PM,12-10-2023,Thursday,50,1,6,20,77,normal
9:15:00 PM,12-10-2023,Thursday,64,0,9,32,105,normal
9:30:00 PM,12-10-2023,Thursday,70,4,5,24,103,normal
9:45:00 PM,12-10-2023,Thursday,5,0,0,38,43,normal
10:00:00 PM,12-10-2023,Thursday,11,2,0,38,51,normal
10:15:00 PM,12-10-2023,Thursday,11,1,1,40,53,normal
10:30:00 PM,12-10-2023,Thursday,12,1,2,31,46,normal
10:45:00 PM,12-10-2023,Thursday,5,1,0,36,42,normal
11:00:00 PM,12-10-2023,Thursday,5,0,0,23,28,normal
11:15:00 PM,12-10-2023,Thursday,6,0,2,26,34,normal
11:30:00 PM,12-10-2023,Thursday,15,1,2,20,38,normal
11:45:00 PM,12-10-2023,Thursday,6,2,0,24,32,normal
12:00:00 AM,13-10-2023,Friday,6,1,2,40,49,normal
12:15:00 AM,13-10-2023,Friday,6,1,0,39,46,normal
12:30:00 AM,13-10-2023,Friday,15,1,2,23,41,normal
12:45:00 AM,13-10-2023,Friday,7,1,2,35,45,normal
1:00:00 AM,13-10-2023,Friday,15,0,0,22,37,normal
1:15:00 AM,13-10-2023,Friday,11,2,2,33,48,normal
1:30:00 AM,13-10-2023,Friday,14,2,1,24,41,normal
1:45:00 AM,13-10-2023,Friday,5,2,2,36,45,normal
2:00:00 AM,13-10-2023,Friday,9,0,2,35,46,normal
2:15:00 AM,13-10-2023,Friday,14,0,0,30,44,normal
2:30:00 AM,13-10-2023,Friday,5,0,0,29,34,normal
2:45:00 AM,13-10-2023,Friday,9,0,1,36,46,normal
3:00:00 AM,13-10-2023,Friday,15,1,2,36,54,normal
3:15:00 AM,13-10-2023,Friday,11,1,0,20,32,normal
3:30:00 AM,13-10-2023,Friday,14,1,2,29,46,normal
3:45:00 AM,13-10-2023,Friday,5,0,1,38,44,normal
4:00:00 AM,13-10-2023,Friday,54,7,2,27,90,normal
4:15:00 AM,13-10-2023,Friday,52,5,2,54,113,high
4:30:00 AM,13-10-2023,Friday,64,7,3,59,133,high
4:45:00 AM,13-10-2023,Friday,28,7,4,35,74,normal
5:00:00 AM,13-10-2023,Friday,79,2,2,48,131,high
5:15:00 AM,13-10-2023,Friday,58,0,3,35,96,normal
5:30:00 AM,13-10-2023,Friday,43,4,0,48,95,normal
5:45:00 AM,13-10-2023,Friday,72,5,3,57,137,high
6:00:00 AM,13-10-2023,Friday,63,0,0,43,106,normal
6:15:00 AM,13-10-2023,Friday,58,10,1,58,127,high
6:30:00 AM,13-10-2023,Friday,25,2,3,26,56,normal
6:45:00 AM,13-10-2023,Friday,26,6,2,56,90,normal
7:00:00 AM,13-10-2023,Friday,53,5,5,25,88,normal
7:15:00 AM,13-10-2023,Friday,34,6,1,34,75,normal
7:30:00 AM,13-10-2023,Friday,27,3,5,53,88,normal
7:45:00 AM,13-10-2023,Friday,77,0,3,44,124,high
8:00:00 AM,13-10-2023,Friday,65,10,1,52,128,high
8:15:00 AM,13-10-2023,Friday,65,6,3,55,129,high
8:30:00 AM,13-10-2023,Friday,78,6,2,35,121,high
8:45:00 AM,13-10-2023,Friday,36,6,5,57,104,normal
9:00:00 AM,13-10-2023,Friday,144,42,11,7,204,heavy
9:15:00 AM,13-10-2023,Friday,125,29,19,6,179,heavy
9:30:00 AM,13-10-2023,Friday,114,50,6,8,178,heavy
9:45:00 AM,13-10-2023,Friday,136,24,20,6,186,heavy
10:00:00 AM,13-10-2023,Friday,114,37,19,7,177,heavy
10:15:00 AM,13-10-2023,Friday,141,50,16,5,212,heavy
10:30:00 AM,13-10-2023,Friday,117,50,20,10,197,heavy
10:45:00 AM,13-10-2023,Friday,103,40,11,9,163,normal
11:00:00 AM,13-10-2023,Friday,131,39,5,5,180,heavy
11:15:00 AM,13-10-2023,Friday,119,22,6,8,155,normal
11:30:00 AM,13-10-2023,Friday,104,35,19,9,167,normal
11:45:00 AM,13-10-2023,Friday,146,24,13,6,189,heavy
12:00:00 PM,13-10-2023,Friday,134,26,14,6,180,heavy
12:15:00 PM,13-10-2023,Friday,111,46,19,8,184,heavy
12:30:00 PM,13-10-2023,Friday,106,37,19,8,170,heavy
12:45:00 PM,13-10-2023,Friday,128,36,12,9,185,heavy
1:00:00 PM,13-10-2023,Friday,101,36,11,9,157,normal
1:15:00 PM,13-10-2023,Friday,142,21,7,9,179,heavy
1:30:00 PM,13-10-2023,Friday,124,21,10,5,160,normal
1:45:00 PM,13-10-2023,Friday,103,22,20,7,152,normal
2:00:00 PM,13-10-2023,Friday,139,47,7,8,201,heavy
2:15:00 PM,13-10-2023,Friday,127,28,20,10,185,heavy
2:30:00 PM,13-10-2023,Friday,126,39,13,7,185,heavy
2:45:00 PM,13-10-2023,Friday,100,41,15,8,164,normal
3:00:00 PM,13-10-2023,Friday,66,5,5,17,93,low
3:15:00 PM,13-10-2023,Friday,83,13,9,10,115,normal
3:30:00 PM,13-10-2023,Friday,50,6,15,9,80,low
3:45:00 PM,13-10-2023,Friday,50,13,1,11,75,low
4:00:00 PM,13-10-2023,Friday,65,5,1,20,91,normal
4:15:00 PM,13-10-2023,Friday,72,8,12,19,111,normal
4:30:00 PM,13-10-2023,Friday,80,7,0,9,96,low
4:45:00 PM,13-10-2023,Friday,71,5,10,5,91,low
5:00:00 PM,13-10-2023,Friday,83,11,2,12,108,low
5:15:00 PM,13-10-2023,Friday,54,5,6,10,75,low
5:30:00 PM,13-10-2023,Friday,55,6,4,10,75,low
5:45:00 PM,13-10-2023,Friday,56,15,14,5,90,low
6:00:00 PM,13-10-2023,Friday,71,8,13,12,104,low
6:15:00 PM,13-10-2023,Friday,59,5,13,18,95,low
6:30:00 PM,13-10-2023,Friday,62,14,4,10,90,low
6:45:00 PM,13-10-2023,Friday,68,10,9,20,107,normal
7:00:00 PM,13-10-2023,Friday,27,0,3,40,70,normal
7:15:00 PM,13-10-2023,Friday,45,3,1,44,93,normal
7:30:00 PM,13-10-2023,Friday,23,3,1,39,66,normal
7:45:00 PM,13-10-2023,Friday,50,4,4,40,98,normal
8:00:00 PM,13-10-2023,Friday,29,2,4,39,74,normal
8:15:00 PM,13-10-2023,Friday,26,1,5,30,62,normal
8:30:00 PM,13-10-2023,Friday,43,4,5,39,91,normal
8:45:00 PM,13-10-2023,Friday,33,5,0,25,63,normal
9:00:00 PM,13-10-2023,Friday,21,2,4,30,57,normal
9:15:00 PM,13-10-2023,Friday,47,2,4,40,93,normal
9:30:00 PM,13-10-2023,Friday,24,4,4,41,73,normal
9:45:00 PM,13-10-2023,Friday,11,0,2,27,40,normal
10:00:00 PM,13-10-2023,Friday,5,1,1,37,44,normal
10:15:00 PM,13-10-2023,Friday,14,2,1,22,39,normal
10:30:00 PM,13-10-2023,Friday,6,2,0,39,47,normal
10:45:00 PM,13-10-2023,Friday,15,2,2,37,56,normal
11:00:00 PM,13-10-2023,Friday,9,2,2,36,49,normal
11:15:00 PM,13-10-2023,Friday,11,0,0,34,45,normal
11:30:00 PM,13-10-2023,Friday,13,1,2,25,41,normal
11:45:00 PM,13-10-2023,Friday,13,1,2,31,47,normal
12:00:00 AM,14-10-2023,Saturday,10,0,0,37,47,normal
12:15:00 AM,14-10-2023,Saturday,6,2,0,20,28,normal
12:30:00 AM,14-10-2023,Saturday,12,1,1,36,50,normal
12:45:00 AM,14-10-2023,Saturday,9,2,0,27,38,normal
1:00:00 AM,14-10-2023,Saturday,13,1,0,35,49,normal
1:15:00 AM,14-10-2023,Saturday,7,0,1,40,48,normal
1:30:00 AM,14-10-2023,Saturday,6,1,1,37,45,normal
1:45:00 AM,14-10-2023,Saturday,8,1,1,27,37,normal
2:00:00 AM,14-10-2023,Saturday,9,2,2,30,43,normal
2:15:00 AM,14-10-2023,Saturday,7,1,0,38,46,normal
2:30:00 AM,14-10-2023,Saturday,6,0,1,35,42,normal
2:45:00 AM,14-10-2023,Saturday,7,0,2,27,36,normal
3:00:00 AM,14-10-2023,Saturday,5,0,0,36,41,normal
3:15:00 AM,14-10-2023,Saturday,11,2,2,25,40,normal
3:30:00 AM,14-10-2023,Saturday,5,1,2,22,30,normal
3:45:00 AM,14-10-2023,Saturday,14,0,1,30,45,normal
4:00:00 AM,14-10-2023,Saturday,55,1,1,30,87,normal
4:15:00 AM,14-10-2023,Saturday,74,10,1,10,95,low
4:30:00 AM,14-10-2023,Saturday,89,7,1,21,118,normal
4:45:00 AM,14-10-2023,Saturday,87,9,6,17,119,normal
5:00:00 AM,14-10-2023,Saturday,80,10,3,19,112,normal
5:15:00 AM,14-10-2023,Saturday,89,7,0,25,121,normal
